"beta","M"
2,1
1.66666666666667,0.2
1.42857142857143,-1
1.25,-1
1.11111111111111,1
1,1
0.909090909090909,-1
0.833333333333333,1
0.769230769230769,1
0.714285714285714,0.98
0.666666666666667,-1
0.625,-1
0.588235294117647,-0.94
0.555555555555556,0.98
0.526315789473684,0.94
0.5,0.96
0.476190476190476,-0.9
0.454545454545455,-0.92
0.434782608695652,0.88
0.416666666666667,-0.66
0.4,-0.34
0.384615384615385,0.32
0.37037037037037,-0.38
0.357142857142857,0.26
0.344827586206897,-0.64
0.333333333333333,0.3
0.32258064516129,-0.4
0.3125,-0.16
0.303030303030303,-0.06
0.294117647058823,0.18
0.285714285714286,0.38
0.277777777777778,0.04
0.27027027027027,0
0.263157894736842,-0.16
0.256410256410256,0.22
0.25,-0.02
0.24390243902439,-0.16
0.238095238095238,-0.28
0.232558139534884,0.08
0.227272727272727,-0.28
0.222222222222222,0.04
0.217391304347826,0.14
0.212765957446809,-0.06
0.208333333333333,0.18
0.204081632653061,-0.16
0.2,0.02
